Unique ID	Set Unique ID	Edition	Start Card Id	End Card Id	Initial Release Date	Out of Print	Card Database	Product Page	Collector's Center	Card Gallery	Release Notes	Set Logo
NrpJFBQQGpNM8D9w8BBfG	zQFpFP9kJrcgWJmR8w6Nr	N	HER000	HER130					https://fabtcg.com/collectors-centre/promos-and-extras/			
MNCKJJ98TkBTPbBFKL689	NHqKhjGQLWB6DqFwcDRWr	N	HNT001	HNT259	2025-01-31T00:00:00.000Z			https://fabtcg.com/en/products/booster-set/the-hunted/				https://dhhim4ltzu1pj.cloudfront.net/media/images/the_hunted_logo.original.png
n8gpKL7pTMQ7zcTdj8fL6	9GGpwPrfzfDL7Pg9wdbFQ	N	HVY000	HVY254	2024-02-02T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/heavy-hitters/	https://fabtcg.com/products/booster-set/heavy-hitters/	https://fabtcg.com/collectors-centre/heavy-hitters/	https://fabtcg.com/resources/card-galleries/heavy-hitters/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/heavy-hitters/	https://dhhim4ltzu1pj.cloudfront.net/media/images/heavy_hitters_logo.original.png
TntFbKJjRFwMWQpLGnQR8	NJH6TM8ThDgd6GKNbMbKm	N	IRA001	IRA012	2019-08-31T00:00:00.000Z		https://cards.fabtcg.com/products/ira-welcome-deck-2018/	https://fabtcg.com/products/learn-play/welcome-deck-2019/	https://fabtcg.com/collectors-centre/ira-welcome-deck/	https://fabtcg.com/resources/card-galleries/welcome-deck-2019/		
hqBm7CnKjCWzKBQcph89t	Q7kcdgCRNm6fWmNjgTbnF	N	JDG000	JDG036					https://fabtcg.com/collectors-centre/promos-and-extras/			
Kw8MWFJtGCLg6hRRjbw9w	MMLdCDCHzbczh9qc9bzGp	N	KAT001	KAT026	2023-03-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/katsu-blitz-deck/	https://fabtcg.com/en/products/booster-set/outsiders/outsiders-blitz-decks/	https://fabtcg.com/en/collectors-centre/outsiders/			
C7KjLHKwBJhRH9qqdFjbg	rgRWRm9GbMpPTt789kgHW	N	KSI001	KSI030	2024-02-02T00:00:00.000Z		https://cards.fabtcg.com/products/kassai-heavy-hitters-blitz-deck/	https://fabtcg.com/products/booster-set/heavy-hitters/heavy-hitters-blitz-decks/	https://fabtcg.com/collectors-centre/heavy-hitters/			
JGhkz7dKNtQd9czpFhhhr	Wp8RnQbnhjM8dPR7CjJLj	N	KSU001	KSU030	2019-10-11T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/katsu-the-wanderer-hero-deck/	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/katsu-hero-deck/		
qdLrpf9jRrTRkpDGMgG7r	DmbjR8R9B8jPfCgcn7dL8	N	KYO001	KYO029	2024-02-02T00:00:00.000Z		https://cards.fabtcg.com/products/kayo-heavy-hitters-blitz-deck/	https://fabtcg.com/products/booster-set/heavy-hitters/heavy-hitters-blitz-decks/	https://fabtcg.com/collectors-centre/heavy-hitters/			
K6wwtbnmnfkfBp9WfBjfN	Mm8n6LDWrjhRKmghDpH8F	N	LEV001	LEV029	2021-05-07T00:00:00.000Z	Yes	https://fabtcg.com/en/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/levia-blitz-deck/		
Cbc6mFhKFNdqtCTJ9wwGJ	Q7pWcKBwRPzjFthNTWWnR	N	LGS001	LGS368					https://fabtcg.com/collectors-centre/promos-and-extras/			
B8Nwc79RrDqgRrqPCczFb	FbC6d7CCD9frkFTJ8BMLJ	N	LSS001	LSS018					https://fabtcg.com/collectors-centre/promos-and-extras/			
fmdGdJjn7hfBDHdqhPm8z	NtFmMN7FrrD9T7wNmRfbP	N	LXI001	LXI030	2021-11-24T00:00:00.000Z	Yes		https://fabtcg.com/products/booster-set/tales-aria-blitz-decks/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria/lexi-blitz-deck/		
dbdr7LtkJqHKPRthwCfhq	RqqtdMH8fDBPCnjDcLNdT	F	MON000	MON306	2021-05-07T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/monarch/	https://fabtcg.com/products/booster-set/monarch/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/resources/card-galleries/monarch-booster/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/monarch/	https://dhhim4ltzu1pj.cloudfront.net/media/images/0zIUv0bFVWaD.original.png
GbmNLthWjCHfML9thPbbt	RqqtdMH8fDBPCnjDcLNdT	U	MON000	MON306	2021-06-04T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/monarch-unlimited/	https://fabtcg.com/products/booster-set/monarch-unlimited/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/resources/card-galleries/monarch-booster-unlimited/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/monarch/	https://dhhim4ltzu1pj.cloudfront.net/media/images/0zIUv0bFVWaD.original.png
pzpfGzzTRdLfqkQk9zRNw	CcM86B8czTkgchQFnGmkQ	N	MST000	MST238	2024-05-31T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/part-the-mistveil/	https://fabtcg.com/en/products/booster-set/part-the-mistveil/	https://fabtcg.com/en/collectors-centre/part-the-mistveil/	https://fabtcg.com/en/resources/card-galleries/part-the-mistveil-en/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/part-the-mistveil/	https://dhhim4ltzu1pj.cloudfront.net/media/images/logo_mst.original.png
DQzBtkPmtffbqTFtgDGKj	W8669Tr9cwthfDthNjKP9	N	NUU001	NUU029	2024-05-31T00:00:00.000Z		https://cards.fabtcg.com/products/nuu-blitz-deck/	https://fabtcg.com/products/booster-set/part-the-mistveil-blitz-deck-collection-en/	https://fabtcg.com/en/collectors-centre/part-the-mistveil/	https://fabtcg.com/resources/card-galleries/part-the-mistveil-collection-box/		
8bcCwFdQGfdTMTKRFKPQ6	pRmKczPQQff9T6HTkqHkm	N	OLA001	OLA030	2024-02-02T00:00:00.000Z		https://cards.fabtcg.com/products/olympia-heavy-hitters-blitz-deck/	https://fabtcg.com/products/booster-set/heavy-hitters/heavy-hitters-blitz-decks/	https://fabtcg.com/collectors-centre/heavy-hitters/			
mFC8QR7k8T9WM8HHm9PPm	jHCNJwm8Q6Gm7L8mLQ8Tg	N	OLD001	OLD032	2021-11-24T00:00:00.000Z	Yes		https://fabtcg.com/products/booster-set/tales-aria-blitz-decks/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria/oldhim-blitz-deck/		
9PtBdQJFckLF9fgWQNdMM	cFBW9t8bwBJGHtjBFfHLK	N	OSC001	OSC029	2024-09-20T00:00:00.000Z		https://cards.fabtcg.com/products/rosetta-blitz-deck-oscilio/	https://fabtcg.com/products/booster-set/rosetta-blitz-deck-collection/	https://fabtcg.com/en/collectors-centre/rosetta/			
zd6wBL7zcQR7zrJhwCjrh	rqprmGL98FMqcPzPBpKmQ	N	OUT000	OUT238	2023-03-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/outsiders/	https://fabtcg.com/en/products/booster-set/outsiders/	https://fabtcg.com/collectors-centre/outsiders/	https://fabtcg.com/resources/card-galleries/outsiders/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/outsiders/	https://dhhim4ltzu1pj.cloudfront.net/media/images/outsiders23012.original.png
ktkCBtLJGWMPm9cWz77NK	bNCWTDLLz6CHGDJzCMCjk	N	OXO001	OXO004					https://fabtcg.com/collectors-centre/promos-and-extras/			
hzWkt9H79fgkLqC6wqctH	NGqTPbzCC6QN6Nkwjrthj	N	PSM001	PSM030	2021-05-07T00:00:00.000Z	Yes	https://fabtcg.com/en/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/prism-blitz-deck/		
9kpCbmwz6ckdqc8B7kKkC	kjKBztc6Jwkbjm8FfTgtL	N	RIP001	RIP030	2023-03-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/riptide-blitz-deck/	https://fabtcg.com/en/products/booster-set/outsiders/outsiders-blitz-decks/	https://fabtcg.com/en/collectors-centre/outsiders/			
DnzncFjbdKCmJjgMJrrR6	BqWfHnHgd8BtnF9FHBNHG	N	RHI001	RHI029	2024-02-02T00:00:00.000Z		https://cards.fabtcg.com/products/rhinar-heavy-hitters-blitz-deck/	https://fabtcg.com/products/booster-set/heavy-hitters/heavy-hitters-blitz-decks/	https://fabtcg.com/collectors-centre/heavy-hitters/			
ggnCrPfFT8F88mn9qK9pq	PNQNFFcPRnMQMHmB6t9t6	N	RNR001	RNR031	2019-10-11T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/rhinar-reckless-rampage-hero-deck/	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/rhinar-hero-deck/		
fH8hKWnpHw9MWq7jFhkKT	NbL9J9Mqb9QHc9FRJGTwd	N	ROS000	ROS257	2024-09-20T00:00:00.000Z		https://cards.fabtcg.com/products/rosetta/	https://fabtcg.com/products/booster-set/rosetta/	https://fabtcg.com/en/collectors-centre/rosetta/		https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/rosetta-1st-strike/	https://dhhim4ltzu1pj.cloudfront.net/media/images/logo_rosetta_full.original.png
8hQ7rQjcwMTrHcBcjwdQL	fwzFkTTtW8gqwTCbLRNbP	N	RVD001	RVD027	2022-05-27T00:00:00.000Z			https://fabtcg.com/products/booster-set/classic-battles-rvd/		https://fabtcg.com/resources/card-galleries/classic-battles-rhinar-vs-dorinthea/		https://dhhim4ltzu1pj.cloudfront.net/media/images/cb_logo_2.original.png
GwmtwKNQqTBHMMQt6hLMr	NnTrbw6jDGjwPJBMNqdd8	N	TCC001	TCC108	2023-09-29T00:00:00.000Z			https://fabtcg.com/articles/TCC/		https://fabtcg.com/resources/card-galleries/round-the-table-tcc-x-lss/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/bright-lights-round-the-table/	https://dhhim4ltzu1pj.cloudfront.net/media/images/round_the_table.original.png
rcrF8h6dTHwQd9qR6gRnD	dnrqf9WmFbQNHTkkk6htL	N	TEA001	TEA030	2019-10-11T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/dorinthea-ironsong-hero-deck/	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/dorinthea-hero-deck/		
RJJGtpc9hTmppLj8BCCwP	bPGJ6JwTbtmJHQQDbMhjg	N	TER001	TER030	2024-08-23T00:00:00.000Z		https://cards.fabtcg.com/products/1st-strike-terra/	https://fabtcg.com/products/booster-set/1st-strike/			https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/rosetta-1st-strike/	https://dhhim4ltzu1pj.cloudfront.net/media/images/1stk_terra_logo.original.png
