Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
9jBjJD9DL9NzPzqTjhzQb	Embodiment of Lightning	ELE110 – F	nwrC76m7NmMBHFJ7gMcgj	Titan's Fist	ELE202 – F	No		
bJmDzPGH9bDGpL6LMPHHk	Embodiment of Lightning	ELE110 – U	GDnDh689b8HrrKm88FR8k	Titan's Fist	ELE202 – U	No		
gdqjzdcz67qfGqf6g7JDF	Seismic Surge	ELE212 – F	9PqGTkzgCDfMHKLLRg7dC	 Rosetta Thorn	ELE222 – F	No		
mbQzkRTRzc8D8Rtc9f7Jb	Seismic Surge	ELE212 – U	MzRGcjhC7LG8dCMHzzcDT	 Rosetta Thorn	ELE222 – U	No		
6ggcTRTFf9pbMbB8TnmwJ	A Drop in the Ocean	ENG025 - N	CMwzC68Mptz7JGJpq9rmW	Inner Chi	ENG025 - N	Yes		
fnHfbt6jrGMpWhNJDjmrC	Homage to Ancestors	ENG026 - N	JfHFztjzmgpJJWQrgJDnf	Inner Chi	ENG026 - N	Yes		
NTJGCWrGGKGm9pGczBKcd	Preserve Tradition	ENG027 - N	9rJtjfKPfpnkRQjNPwDCh	Inner Chi	ENG027 - N	Yes		
HqHQm9CcdqDdgqRWRmNtN	Rising Sun, Setting Moon	ENG028 - N	Bb6GwwpJjRkDdGT7dDnQw	Inner Chi	ENG028 - N	Yes		
bmTWm9BR8hWcNwRF8FQb8	Dash, Database	EVO002 - N	hRT6tTKnbqmhPPNLd7hdG	Teklo Leveler	EVO009 - N	No		
dTzTMfM86fJzwQGQwBJwG	Symbiosis Shot	EVO003 - N	TLktLHTFLgQcBqBqwRLc9	Maxx Nitro	EVO005 - N	No		
gjCzFf7h6r6qtq9WCqMdB	Banksy	EVO006 - N	tTDjnrMDGhH786kJcGMb6	Teklovossen	EVO008 - N	No		
j8rcMLgRNcGQ6tqRpPhGT	Singularity	EVO010 - N	7NMRKm6kfknwgGWdmg8jB	Teklovossen, the Mechropotent	EVO010 - N	Yes		
mzrkMTfHcq7Hkn8kq6HH8	Singularity	EVO010 - V	rCMmrJcLzNhRGcjDwjRfk	Teklovossen, the Mechropotent	EVO010 - V	Yes		
fNtW66gBndLQBWp9NcgBb	Hyper Driver	EVO234 - N	FmcnzCM6bqjDbDm8NL9dL	Quicken	EVO250 - N	No		
DFjQGNbTkNqjWhJPFL78C	Bravo, Star of the Show	EVR017 – N	nRMnPD6nnmCpFf7WkwTN7	Bravo, Star of the Show	EVR017 – N (Marvel CF Back)	No		
